,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
44,Spinacia oleracea hybrid 102,oleracea_hybrid102_brooks,1,0,False,,,,,94.1,3.24,,,,,,,,,,,,,,,,25,,1,C3 plants,pH and pKa not clear from methods,Brooks 1985,https://doi.org/10.1007/BF00392238,"Brooks A, Farquhar GD. Effect of temperature on the CO2/O 2 specificity of ribulose-1,5-bisphosphate carboxylase/oxygenase and the rate of respiration in the light : Estimates from gas-exchange measurements on spinach. Planta. 1985 Aug;165(3):397-406. doi: 10.1007/BF00392238."
45,Triticum aestivum,aestivum_brooks,1,0,False,,,,,102,3.5,,,,,,,,,,,,,,,,25,,1,C3 plants,pH and pKa not clear from methods,Brooks 1985,https://doi.org/10.1007/BF00392238,"Brooks A, Farquhar GD. Effect of temperature on the CO2/O 2 specificity of ribulose-1,5-bisphosphate carboxylase/oxygenase and the rate of respiration in the light : Estimates from gas-exchange measurements on spinach. Planta. 1985 Aug;165(3):397-406. doi: 10.1007/BF00392238."
46,C. dactylon,dactylon_carmo_silva,1,0,False,21,1.3,,,89.2,9,402,27,,,,,,,,,,,,,,25,8.2,1,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
47,P. dilatatum,dilatatum_carmo_silva,1,0,False,19.9,0.8,,,88,7.1,415,5,,,,,,,,,,,,,,25,8.2,1,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
48,Triticum aestivum,aestivum_carmo_silva,1,0,False,10.9,0.9,,,100,9.2,341,33,,,,,,,,,,,,,,25,8.2,1,C3 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
49,Z. japonica,japonica_carmo_silva,1,0,False,18.5,1.2,,,84.1,7.7,403,27,,,,,,,,,,,,,,25,8.2,1,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
50,Espeletia schultzii,schultzii_3100m_castrillo,1,0,False,25,2.28,,,,,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,"extracted from leaves collected at 3,100m elevation. values at other temps here. Reference on this family claims they are predominantly C3 (Tropical Alpine Plant Ecology, Smith & Young 1987).",Castrillo 1995,https://doi.org/10.1007/BF00317283,"Castrillo M. 1995. Ribulose-1,5-bis-phosphate carboxylase activity 193–196."
51,Espeletia schultzii,schultzii_3550m_castrillo,1,0,False,21.7,1.98,,,,,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,at 3550 m elevation,Castrillo 1995,https://doi.org/10.1007/BF00317283,"Castrillo M. 1995. Ribulose-1,5-bis-phosphate carboxylase activity 193–196."
52,Espeletia schultzii,schultzii_4200m_castrillo,1,0,False,23.2,2.12,,,,,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,at 4200 m elevation,Castrillo 1995,https://doi.org/10.1007/BF00317283,"Castrillo M. 1995. Ribulose-1,5-bis-phosphate carboxylase activity 193–196."
55,Halothiobacillus neapolitanus,hnea_dou,1,0,False,164,17.1,,,,,,,,,,,,,,,,,,,,25,8,1,Gammaproteobacteria,"unclear what temperature this was measured in from methods, assumed 25 C",Dou 2008,18258595,"Dou, Zhicheng, et al. “CO2 Fixation Kinetics of Halothiobacillus Neapolitanus Mutant Carboxysomes Lacking Carbonic Anhydrase Suggest the Shell Acts as a Diffusional Barrier for CO2.” The Journal of Biological Chemistry, vol. 283, no. 16, Apr. 2008, pp. 10377–84, doi:10.1074/jbc.M709285200."
56,Beta maritima ssp. marcosii,maritima_marcosii_galmes,1,0,False,,,,,96.3,3.31,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
57,Beta maritima ssp. maritima,maritima_maritima_galmes,1,0,False,,,,,92.9,3.2,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
58,Diplotaxis ibicensis,ibicensis_galmes,1,0,False,,,,,95.6,3.29,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
59,Hypericum balearicum,balearicum_galmes,1,0,False,,,,,93.6,3.22,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
60,Kundmannia sicula,sicula_galmes,1,0,False,,,,,89.2,3.07,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
61,Limonium gibertii,gibertii_galmes,1,0,False,,,,,110,3.8,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
62,Limonium magallufianum,magallufianum_galmes,1,0,False,,,,,106,3.65,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
63,Lysimachia minoricensis,minoricensis_galmes,1,0,False,,,,,93.8,3.23,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
64,Mentha aquatica,aquatica_galmes,1,0,False,,,,,97.2,3.34,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
65,Pistacia lentiscus,lentiscus_galmes,1,0,False,,,,,97.2,3.34,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
66,Rhamnus alaternus,alaternus_galmes,1,0,False,,,,,94.7,3.26,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
67,Rhamnus ludovici-salvatoris,ludovici_salvatoris_galmes,1,0,False,,,,,94.4,3.25,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
68,Urtica atrovirens ssp. bianorii,atrovirens_bianorii_galmes,1,0,False,,,,,90.2,3.1,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
69,Urtica membranacea,membranacea_galmes,1,0,False,,,,,102,3.52,,,,,,,,,,,,,,,,25,8.2,1,C3 plants,ref also contains S data at other temperatures. S error not reported,Galmes 2005,https://doi.org/10.1111/j.1365-3040.2005.01300.x,"Galmes J, Flexas J, Keys AJ, Cifre J, Mitchell RAC, Madgwick PJ, Haslam RP, Medrano H, Parry MAJ. 2005. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant, Cell and Environment 28, 571–579."
70,Limonium echioides,echioides_galmes,1,0,False,10.7,0.2,3.9,0.1,106,1.8,427,38,1.46,1.19,1.74,,,0.364,0.342,0.388,0.00342,0.00318,0.00367,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
71,Limonium balearicum,balearicum_galmes,1,0,False,9.7,0.5,3.6,0.1,103,1.5,346,19,1.24,1.06,1.45,,,0.371,0.332,0.418,0.00359,0.00321,0.00406,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
72,Limonium barceloi,barceloi_galmes,1,0,False,9.3,0.6,3.4,0.1,106,2,346,17,1.19,1,1.42,,,0.366,0.32,0.425,0.00344,0.00299,0.00402,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
73,Limonium companyonis,companyonis_galmes,1,0,False,8.9,0.3,3.3,0.2,112,2.1,429,28,1.42,1.17,1.7,,,0.372,0.322,0.423,0.00332,0.00287,0.00381,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
74,Limonium artruchium,artruchium_galmes,1,0,False,9.4,0.3,3,0.1,113,2,321,50,0.91,0.624,1.22,,,0.319,0.291,0.349,0.00283,0.00256,0.00311,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
75,Limonium grosii,grosii_galmes,1,0,False,8.1,0.4,2.9,0.1,113,3.3,328,52,1.03,0.704,1.41,,,0.358,0.318,0.404,0.00316,0.00278,0.00362,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
76,Limonium leonardi‐llorensii,leonardi_llorensii_galmes,1,0,False,8.8,0.4,2.8,0.1,110,1.1,438,30,1.27,1.05,1.51,,,0.318,0.285,0.357,0.0029,0.0026,0.00326,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
77,Limonium magallufianum,magallufianum_galmes,1,0,False,7,0.3,2.6,0.1,111,2.9,297,26,0.994,0.795,1.22,,,0.372,0.332,0.416,0.00336,0.00297,0.00382,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
78,Limonium gibertii,gibertii_galmes,1,0,False,9.1,0.7,2.5,0.1,112,2.5,431,81,1.06,0.658,1.53,,,0.275,0.233,0.328,0.00245,0.00207,0.00294,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
79,Limonium antonii‐llorensii,antonii_llorensii_galmes,1,0,False,8.7,0.3,2.4,0.1,112,1.8,397,20,0.976,0.843,1.13,,,0.276,0.248,0.307,0.00246,0.0022,0.00274,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
80,Limonium biflorum,biflorum_galmes,1,0,False,8,0.3,2.4,0.1,112,1.8,316,19,0.846,0.713,0.993,,,0.3,0.268,0.334,0.00268,0.00239,0.003,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
81,Limonium gymnesicum,gymnesicum_galmes,1,0,False,8.2,0.1,2.4,0.1,121,2.3,388,15,0.936,0.831,1.05,,,0.293,0.268,0.318,0.00241,0.0022,0.00264,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
82,Limonium retusum,retusum_galmes,1,0,False,7.1,0.4,2.1,0.1,121,1.4,396,10,0.97,0.83,1.13,,,0.296,0.257,0.342,0.00245,0.00211,0.00283,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
83,Limonium ejulabilis,ejulabilis_galmes,1,0,False,7.6,0.2,2,0.2,116,3.2,415,23,0.94,0.726,1.18,,,0.263,0.21,0.317,0.00227,0.0018,0.00276,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
84,Drosera capensis,capensis_galmes,1,0,False,10.3,0.4,4.7,0.2,,,327,24,,,,,,0.456,0.408,0.51,,,,,,25,8,1,Carnivorous plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
85,Echeveria elegans,elegans_galmes,1,0,False,10.5,0.7,4.5,0.2,,,236,27,,,,,,0.428,0.369,0.502,,,,,,25,8,1,CAM plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
86,Sarracenia flava,flava_galmes,1,0,False,12.6,0.1,4.4,0.1,,,426,19,,,,,,0.349,0.333,0.366,,,,,,25,8,1,Carnivorous plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
87,Arabidopsis thaliana,thaliana_galmes,1,0,False,9.9,0.4,4.1,0.3,,,333,29,,,,,,0.414,0.348,0.484,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
88,Pteridium aquilinum,aquilinum_galmes,1,0,False,13.9,0.1,4,0.1,,,391,14,,,,,,0.288,0.273,0.303,,,,,,25,8,1,Fern,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
